epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,541.718,1.33333,1.66807,1.07246,0.69849,0.60084,0.67126,0.42602,1.22326,1.4157,1.0921,0.000552127,0.000552127,0.000552127
2,1062.52,1.28933,1.16913,1.05871,0.62846,0.60048,0.62177,0.39451,1.20137,1.31177,1.10696,0.00108586,0.00108586,0.00108586
3,1581.8,1.26817,1.0299,1.05353,0.79919,0.61035,0.69387,0.43544,1.18119,1.12601,1.1065,0.00159759,0.00159759,0.00159759
4,2092.93,1.24344,0.93935,1.04611,0.82374,0.64002,0.70935,0.4406,1.2026,0.93909,1.08575,0.00156798,0.00156798,0.00156798
5,2610.01,1.25409,0.91655,1.04565,0.87407,0.64339,0.74809,0.48866,1.11939,0.95138,1.06377,0.00153497,0.00153497,0.00153497
6,3123.13,1.22198,0.85775,1.02806,0.80108,0.66099,0.74624,0.46492,1.17137,0.88726,1.07498,0.00150197,0.00150197,0.00150197
7,3635.77,1.20559,0.83325,1.02253,0.74732,0.59646,0.69064,0.42995,1.10899,0.96083,1.04523,0.00146896,0.00146896,0.00146896
8,4148.2,1.18459,0.79279,1.01317,0.86057,0.67552,0.77755,0.5005,1.07809,0.78077,1.03814,0.00143595,0.00143595,0.00143595
9,4661.51,1.1452,0.76091,1.0092,0.86049,0.66305,0.77703,0.5063,1.07449,0.82019,1.03586,0.00140295,0.00140295,0.00140295
10,5179,1.15742,0.75792,1.00933,0.79654,0.72032,0.78289,0.5222,1.06238,0.83904,1.04543,0.00136994,0.00136994,0.00136994
11,5694.34,1.14603,0.73084,1.00122,0.83567,0.69421,0.78418,0.50092,1.07176,0.83083,1.03512,0.00133693,0.00133693,0.00133693
12,6207.97,1.16382,0.73991,1.00463,0.84361,0.73665,0.81316,0.51003,1.07614,0.7272,1.03479,0.00130393,0.00130393,0.00130393
13,6725.36,1.16313,0.7202,1.00229,0.82678,0.71978,0.81236,0.53157,1.0831,0.66581,1.03458,0.00127092,0.00127092,0.00127092
14,7235.56,1.09954,0.70103,0.99465,0.91156,0.70727,0.79972,0.52669,1.01396,0.68054,1.00571,0.00123791,0.00123791,0.00123791
15,7747.23,1.09906,0.68088,0.98844,0.89356,0.73944,0.83847,0.54723,1.04724,0.70728,1.00733,0.00120491,0.00120491,0.00120491
16,8264.98,1.10456,0.68086,0.98756,0.88825,0.71001,0.8068,0.52037,1.06565,0.71917,1.02995,0.0011719,0.0011719,0.0011719
17,8781.37,1.10206,0.67208,0.99166,0.85092,0.75529,0.82984,0.56019,1.00258,0.66531,0.99714,0.00113889,0.00113889,0.00113889
18,9292.15,1.08077,0.66098,0.98631,0.79581,0.77037,0.83743,0.56303,1.06379,0.65108,1.02411,0.00110589,0.00110589,0.00110589
19,9805.08,1.06743,0.65317,0.97999,0.81562,0.74121,0.82118,0.54173,1.05725,0.73231,1.04333,0.00107288,0.00107288,0.00107288
20,10315,1.08391,0.63743,0.97925,0.84278,0.76512,0.83419,0.51291,1.20642,0.68947,1.0783,0.00103987,0.00103987,0.00103987
21,10829.7,1.06924,0.62456,0.97254,0.83705,0.79836,0.84471,0.56349,1.02078,0.66179,1.00319,0.00100687,0.00100687,0.00100687
22,11341.5,1.06046,0.62102,0.96657,0.87006,0.75124,0.82651,0.55054,1.05472,0.62214,1.01457,0.000973861,0.000973861,0.000973861
23,11856.2,1.07034,0.63588,0.97107,0.85738,0.75765,0.82379,0.55727,1.00937,0.61549,1.01203,0.000940855,0.000940855,0.000940855
24,12370.4,1.05432,0.6046,0.96604,0.881,0.73342,0.83151,0.56362,1.02318,0.59521,1.01397,0.000907848,0.000907848,0.000907848
25,12880.7,1.06325,0.60285,0.96791,0.88312,0.75639,0.84578,0.56365,1.03338,0.60357,1.01164,0.000874842,0.000874842,0.000874842
26,13391.4,1.05333,0.5993,0.96445,0.8447,0.77639,0.84913,0.58004,0.99672,0.58224,1.00335,0.000841835,0.000841835,0.000841835
27,13900.4,1.04425,0.59218,0.96179,0.88116,0.76134,0.84199,0.55388,1.04378,0.61254,1.02186,0.000808828,0.000808828,0.000808828
28,14411.1,1.03649,0.58461,0.962,0.91468,0.74873,0.84951,0.58118,1.01676,0.5733,1.0065,0.000775822,0.000775822,0.000775822
29,14922,1.03768,0.58192,0.96135,0.8757,0.7563,0.83694,0.5816,1.00535,0.57127,1.00689,0.000742815,0.000742815,0.000742815
30,15434,1.00345,0.56418,0.95307,0.84991,0.76305,0.85638,0.57901,1.01387,0.57637,1.00901,0.000709809,0.000709809,0.000709809
31,15946,1.02308,0.56927,0.95863,0.89229,0.75722,0.85342,0.5745,1.01361,0.5986,1.00988,0.000676802,0.000676802,0.000676802
32,16457.2,1.01342,0.56615,0.95615,0.93132,0.73822,0.86061,0.57695,1.0147,0.57174,1.00732,0.000643795,0.000643795,0.000643795
33,16970.8,1.01348,0.55603,0.95348,0.8936,0.75621,0.84895,0.57873,1.0019,0.56671,0.99735,0.000610789,0.000610789,0.000610789
34,17480.9,0.99602,0.54944,0.9488,0.8851,0.76791,0.85909,0.58389,1.01311,0.55325,1.01118,0.000577782,0.000577782,0.000577782
35,17994.7,0.99095,0.54271,0.94113,0.90366,0.73477,0.8448,0.58102,1.00996,0.56064,1.00088,0.000544776,0.000544776,0.000544776
36,18506.9,1.0002,0.5418,0.94556,0.87401,0.76927,0.83701,0.57607,1.02362,0.58855,1.01255,0.000511769,0.000511769,0.000511769
37,19022.9,0.98371,0.52943,0.94243,0.88934,0.74413,0.83249,0.57122,0.99147,0.57117,0.98997,0.000478762,0.000478762,0.000478762
38,19539,0.97591,0.51548,0.93793,0.92823,0.73618,0.84504,0.58478,0.9896,0.55416,0.99195,0.000445756,0.000445756,0.000445756
39,20048.2,0.97208,0.51511,0.94196,0.88193,0.76639,0.84603,0.58612,0.99861,0.57325,1.00806,0.000412749,0.000412749,0.000412749
40,20559,0.96602,0.5143,0.93747,0.87442,0.80529,0.86898,0.59267,1.00252,0.53106,0.99667,0.000379743,0.000379743,0.000379743
41,21052.3,0.95942,0.47827,0.91637,0.85933,0.80715,0.86233,0.59133,1.01012,0.56373,0.9974,0.000346736,0.000346736,0.000346736
42,21547.7,0.94144,0.46921,0.90565,0.86942,0.77403,0.85445,0.59205,0.9965,0.55045,0.99277,0.000313729,0.000313729,0.000313729
43,22439.2,0.93617,0.45861,0.90797,0.91939,0.7628,0.85238,0.5964,0.98981,0.54405,0.99506,0.000280723,0.000280723,0.000280723
44,23193.3,0.92272,0.45127,0.90982,0.88795,0.77822,0.85777,0.59662,0.99739,0.55139,0.99761,0.000247716,0.000247716,0.000247716
45,24153.1,0.92346,0.45104,0.90315,0.88512,0.80577,0.86231,0.59225,1.00931,0.53214,1.00049,0.00021471,0.00021471,0.00021471
46,25099.6,0.93396,0.45224,0.90342,0.86419,0.78988,0.85872,0.59115,0.99163,0.53142,0.99244,0.000181703,0.000181703,0.000181703
47,25712.6,0.91609,0.44181,0.89717,0.89196,0.77075,0.85559,0.59852,0.99518,0.5336,0.99424,0.000148696,0.000148696,0.000148696
48,26256.8,0.91071,0.43769,0.89716,0.8969,0.77896,0.85837,0.5912,0.99976,0.53021,0.99316,0.00011569,0.00011569,0.00011569
49,26798.7,0.90259,0.43021,0.89555,0.85966,0.79442,0.85676,0.58878,0.99332,0.52507,0.9905,8.26832e-05,8.26832e-05,8.26832e-05
50,27531.7,0.90158,0.42564,0.89541,0.88136,0.78708,0.85716,0.592,0.9946,0.53156,0.99261,4.96766e-05,4.96766e-05,4.96766e-05
